2024-12-01|09:00:00|Freelance Payment|Upwork|1200.0
2024-12-02|14:45:00|Office Rent|Landlord|-750.0
2024-12-03|10:30:00|Laptop Purchase|Best Buy|-950.5
2024-12-04|11:15:00|Client Payment|Fiverr|850.0
2024-12-05|12:00:00|Coffee Supplies|Starbucks|-45.75
2024-12-06|16:20:00|Software License|Adobe|-120.0
2025-05-01|08:15:00|Consulting Fee|Freelancer.com|1100.0
2024-12-08|15:10:00|Internet Bill|Comcast|-85.2
2024-12-09|17:45:00|Project Bonus|Client X|600.0
2024-12-10|13:00:00|Office Supplies|Staples|-145.0
2025-04-15|10:13:25|ergonomic keyboard|Amazon|-89.5
2025-04-15|11:15:00|Invoice 1001 paid|Joe|1500.0
